category, name, trigger, tools
Popular, Scan codebase for vulnerabilities, time,
Popular, Find critical bugs, time, slack
Popular, Generate docs,
Popular, Add test coverage,
Code review, Find vulnerabilities,
Code review, Assign PR reviewers,
Code review, Add test coverage,
Code review, Find critical bugs,
Code review, Monitor engineering invariants,
Security, Find vulnerabilities,
Security, Remediate dependency vulnerabilities,
Incidents & Triage, Find bugs reported in Slack,
Incidents & Triage, Fix CI failures,
Incidents & Triage, Investigate PagerDuty incidents,
Incidents & Triage, Investigate Sentry issues,
Incidents & Triage, Investigate top Datadog errors,
Incidents & Triage, Triage Linear issues,
Data & Research, Summarize changes daily,
Data & Research, Customer health monitoring agent,
Data & Research, Product analytics agent,
Data & Research, Product FAQ Agent,
Data & Research, Product Finance Agent,
Data & Research, Slack Digest Agent,
